,Label (Grouping),"Butte County, California!!Total!!Estimate","Butte County, California!!Male!!Estimate","Butte County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.1%,5.4%,4.8%
3,    5 to 9 years,6.4%,6.7%,6.2%
4,    10 to 14 years,5.4%,5.8%,4.9%
5,    15 to 19 years,7.0%,7.1%,7.0%
6,    20 to 24 years,11.0%,11.3%,10.7%
7,    25 to 29 years,6.6%,7.3%,6.0%
8,    30 to 34 years,5.3%,5.1%,5.4%
9,    35 to 39 years,5.5%,4.8%,6.2%
10,    40 to 44 years,5.1%,6.1%,4.1%
11,    45 to 49 years,5.8%,5.8%,5.8%
12,    50 to 54 years,5.9%,5.9%,6.0%
13,    55 to 59 years,6.8%,6.5%,7.0%
14,    60 to 64 years,6.1%,6.0%,6.2%
15,    65 to 69 years,6.1%,6.0%,6.2%
16,    70 to 74 years,4.4%,4.0%,4.8%
17,    75 to 79 years,2.6%,2.3%,2.8%
18,    80 to 84 years,2.5%,2.1%,3.0%
19,    85 years and over,2.5%,1.9%,3.0%
