,Label (Grouping),United States!!Total!!Estimate,United States!!Male!!Estimate,United States!!Female!!Estimate
1,AGE,,,
2,    Under 5 years,6.1%,6.4%,5.9%
3,    5 to 9 years,6.3%,6.6%,6.1%
4,    10 to 14 years,6.4%,6.7%,6.2%
5,    15 to 19 years,6.7%,6.9%,6.4%
6,    20 to 24 years,6.9%,7.2%,6.6%
7,    25 to 29 years,7.0%,7.2%,6.8%
8,    30 to 34 years,6.7%,6.9%,6.6%
9,    35 to 39 years,6.5%,6.5%,6.4%
10,    40 to 44 years,6.1%,6.2%,6.1%
11,    45 to 49 years,6.5%,6.5%,6.4%
12,    50 to 54 years,6.8%,6.7%,6.8%
13,    55 to 59 years,6.7%,6.6%,6.8%
14,    60 to 64 years,6.1%,5.9%,6.3%
15,    65 to 69 years,5.2%,5.0%,5.4%
16,    70 to 74 years,3.7%,3.5%,3.9%
17,    75 to 79 years,2.6%,2.3%,2.8%
18,    80 to 84 years,1.8%,1.5%,2.1%
19,    85 years and over,1.9%,1.4%,2.5%
