,Label (Grouping),"Del Norte County, California!!Total!!Estimate","Del Norte County, California!!Male!!Estimate","Del Norte County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.9%,5.9%,5.9%
3,    5 to 9 years,5.8%,5.5%,6.1%
4,    10 to 14 years,5.8%,4.8%,7.1%
5,    15 to 19 years,6.0%,5.6%,6.4%
6,    20 to 24 years,6.4%,7.9%,4.6%
7,    25 to 29 years,6.7%,7.4%,5.8%
8,    30 to 34 years,8.1%,9.8%,6.0%
9,    35 to 39 years,7.6%,9.3%,5.6%
10,    40 to 44 years,4.5%,5.1%,3.7%
11,    45 to 49 years,6.9%,6.4%,7.4%
12,    50 to 54 years,7.2%,6.9%,7.6%
13,    55 to 59 years,7.4%,6.2%,8.9%
14,    60 to 64 years,6.6%,6.0%,7.4%
15,    65 to 69 years,4.9%,4.8%,5.1%
16,    70 to 74 years,4.2%,3.7%,4.8%
17,    75 to 79 years,1.8%,1.4%,2.4%
18,    80 to 84 years,2.3%,1.7%,3.0%
19,    85 years and over,2.0%,1.8%,2.3%
