,Label (Grouping),"El Dorado County, California!!Total!!Estimate","El Dorado County, California!!Male!!Estimate","El Dorado County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.6%,5.3%,3.9%
3,    5 to 9 years,6.3%,6.6%,6.1%
4,    10 to 14 years,5.4%,5.7%,5.0%
5,    15 to 19 years,6.4%,6.7%,6.1%
6,    20 to 24 years,5.0%,5.2%,4.7%
7,    25 to 29 years,4.7%,4.6%,4.8%
8,    30 to 34 years,4.8%,4.5%,5.1%
9,    35 to 39 years,5.4%,5.5%,5.4%
10,    40 to 44 years,5.9%,5.3%,6.5%
11,    45 to 49 years,7.2%,7.2%,7.1%
12,    50 to 54 years,7.7%,7.8%,7.6%
13,    55 to 59 years,9.4%,8.8%,10.0%
14,    60 to 64 years,8.0%,8.3%,7.7%
15,    65 to 69 years,7.2%,7.2%,7.2%
16,    70 to 74 years,4.7%,4.6%,4.8%
17,    75 to 79 years,2.5%,2.6%,2.4%
18,    80 to 84 years,2.0%,2.1%,1.9%
19,    85 years and over,2.8%,1.9%,3.8%
