,Label (Grouping),United States!!Total!!Estimate,United States!!Male!!Estimate,United States!!Female!!Estimate
1,AGE,,,
2,    Under 5 years,6.2%,6.5%,6.0%
3,    5 to 9 years,6.4%,6.7%,6.2%
4,    10 to 14 years,6.5%,6.7%,6.3%
5,    15 to 19 years,6.7%,6.9%,6.4%
6,    20 to 24 years,7.1%,7.4%,6.8%
7,    25 to 29 years,6.9%,7.1%,6.7%
8,    30 to 34 years,6.7%,6.9%,6.6%
9,    35 to 39 years,6.3%,6.4%,6.2%
10,    40 to 44 years,6.4%,6.5%,6.4%
11,    45 to 49 years,6.6%,6.7%,6.6%
12,    50 to 54 years,7.0%,7.0%,7.0%
13,    55 to 59 years,6.7%,6.6%,6.8%
14,    60 to 64 years,5.9%,5.7%,6.0%
15,    65 to 69 years,4.8%,4.6%,5.0%
16,    70 to 74 years,3.5%,3.2%,3.7%
17,    75 to 79 years,2.5%,2.2%,2.7%
18,    80 to 84 years,1.8%,1.5%,2.1%
19,    85 years and over,1.9%,1.3%,2.5%
