,Label (Grouping),"Imperial County, California!!Total!!Estimate","Imperial County, California!!Male!!Estimate","Imperial County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.3%,8.3%,8.4%
3,    5 to 9 years,8.2%,7.9%,8.5%
4,    10 to 14 years,7.4%,7.6%,7.2%
5,    15 to 19 years,7.7%,7.9%,7.5%
6,    20 to 24 years,8.1%,8.8%,7.5%
7,    25 to 29 years,7.2%,7.9%,6.4%
8,    30 to 34 years,6.8%,7.3%,6.3%
9,    35 to 39 years,6.1%,6.4%,5.8%
10,    40 to 44 years,6.1%,6.3%,5.8%
11,    45 to 49 years,6.0%,5.9%,6.1%
12,    50 to 54 years,5.9%,5.8%,6.1%
13,    55 to 59 years,5.5%,5.2%,5.8%
14,    60 to 64 years,4.7%,4.3%,5.1%
15,    65 to 69 years,3.6%,3.2%,4.1%
16,    70 to 74 years,2.9%,2.6%,3.2%
17,    75 to 79 years,2.2%,1.9%,2.6%
18,    80 to 84 years,1.5%,1.4%,1.7%
19,    85 years and over,1.6%,1.3%,2.0%
