,Label (Grouping),"Lake County, California!!Total!!Estimate","Lake County, California!!Male!!Estimate","Lake County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.3%,5.5%,5.0%
3,    5 to 9 years,6.2%,5.5%,6.8%
4,    10 to 14 years,6.0%,7.2%,4.9%
5,    15 to 19 years,5.4%,5.6%,5.2%
6,    20 to 24 years,2.9%,1.7%,4.0%
7,    25 to 29 years,5.7%,4.8%,6.4%
8,    30 to 34 years,4.0%,3.2%,4.7%
9,    35 to 39 years,8.7%,10.6%,6.9%
10,    40 to 44 years,4.0%,5.3%,2.8%
11,    45 to 49 years,6.4%,6.1%,6.7%
12,    50 to 54 years,5.9%,5.8%,6.0%
13,    55 to 59 years,9.1%,9.4%,8.7%
14,    60 to 64 years,7.0%,5.9%,8.0%
15,    65 to 69 years,8.4%,8.7%,8.0%
16,    70 to 74 years,6.1%,6.4%,5.9%
17,    75 to 79 years,4.2%,3.0%,5.4%
18,    80 to 84 years,1.9%,2.8%,1.0%
19,    85 years and over,3.0%,2.5%,3.5%
