,Label (Grouping),"Lassen County, California!!Total!!Estimate","Lassen County, California!!Male!!Estimate","Lassen County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.5%,3.2%,7.0%
3,    5 to 9 years,4.1%,3.3%,5.6%
4,    10 to 14 years,5.0%,4.1%,6.7%
5,    15 to 19 years,5.1%,4.3%,6.5%
6,    20 to 24 years,9.9%,12.4%,5.0%
7,    25 to 29 years,10.0%,12.5%,5.0%
8,    30 to 34 years,9.5%,11.5%,5.4%
9,    35 to 39 years,7.6%,9.1%,4.6%
10,    40 to 44 years,6.4%,6.9%,5.5%
11,    45 to 49 years,6.9%,7.3%,6.1%
12,    50 to 54 years,6.6%,6.1%,7.5%
13,    55 to 59 years,6.3%,4.8%,9.2%
14,    60 to 64 years,5.9%,5.1%,7.5%
15,    65 to 69 years,4.6%,3.8%,6.2%
16,    70 to 74 years,2.8%,1.9%,4.5%
17,    75 to 79 years,1.7%,1.5%,2.3%
18,    80 to 84 years,1.6%,1.3%,2.3%
19,    85 years and over,1.5%,0.8%,3.0%
