,Label (Grouping),"Madera County, California!!Total!!Estimate","Madera County, California!!Male!!Estimate","Madera County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.2%,7.6%,7.0%
3,    5 to 9 years,8.2%,8.2%,8.3%
4,    10 to 14 years,7.6%,8.2%,7.0%
5,    15 to 19 years,7.3%,7.7%,6.9%
6,    20 to 24 years,7.6%,7.5%,7.7%
7,    25 to 29 years,7.2%,7.0%,7.3%
8,    30 to 34 years,6.7%,6.4%,6.9%
9,    35 to 39 years,5.5%,5.5%,5.5%
10,    40 to 44 years,6.5%,6.2%,6.9%
11,    45 to 49 years,6.1%,5.8%,6.4%
12,    50 to 54 years,5.7%,5.5%,5.8%
13,    55 to 59 years,6.2%,6.1%,6.3%
14,    60 to 64 years,5.0%,5.0%,5.0%
15,    65 to 69 years,4.5%,4.6%,4.5%
16,    70 to 74 years,3.7%,4.1%,3.4%
17,    75 to 79 years,2.5%,3.1%,2.1%
18,    80 to 84 years,1.1%,1.1%,1.0%
19,    85 years and over,1.3%,0.5%,2.1%
