,Label (Grouping),"Marin County, California!!Total!!Estimate","Marin County, California!!Male!!Estimate","Marin County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.9%,4.6%,5.2%
3,    5 to 9 years,5.7%,5.4%,5.9%
4,    10 to 14 years,6.3%,6.9%,5.7%
5,    15 to 19 years,5.6%,6.0%,5.3%
6,    20 to 24 years,4.5%,4.8%,4.3%
7,    25 to 29 years,3.9%,4.6%,3.2%
8,    30 to 34 years,4.4%,4.9%,4.0%
9,    35 to 39 years,6.3%,6.7%,6.0%
10,    40 to 44 years,6.7%,6.6%,6.8%
11,    45 to 49 years,7.7%,8.0%,7.4%
12,    50 to 54 years,8.0%,7.9%,8.1%
13,    55 to 59 years,7.9%,7.5%,8.3%
14,    60 to 64 years,7.4%,7.3%,7.5%
15,    65 to 69 years,7.1%,6.3%,7.8%
16,    70 to 74 years,5.2%,5.4%,4.9%
17,    75 to 79 years,3.3%,2.8%,3.8%
18,    80 to 84 years,2.2%,2.3%,2.1%
19,    85 years and over,2.9%,1.9%,3.9%
