,Label (Grouping),"Modoc County, California!!Total!!Estimate","Modoc County, California!!Male!!Estimate","Modoc County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.0%,4.8%,5.3%
3,    5 to 9 years,4.8%,4.5%,5.2%
4,    10 to 14 years,7.5%,8.8%,6.3%
5,    15 to 19 years,6.1%,7.3%,4.9%
6,    20 to 24 years,4.7%,4.6%,4.9%
7,    25 to 29 years,4.2%,4.2%,4.1%
8,    30 to 34 years,4.7%,4.7%,4.8%
9,    35 to 39 years,4.9%,6.2%,3.6%
10,    40 to 44 years,5.3%,5.4%,5.3%
11,    45 to 49 years,8.0%,6.4%,9.6%
12,    50 to 54 years,7.9%,7.7%,8.1%
13,    55 to 59 years,9.0%,9.1%,9.0%
14,    60 to 64 years,7.5%,6.9%,8.0%
15,    65 to 69 years,7.7%,6.4%,8.9%
16,    70 to 74 years,4.4%,5.8%,3.0%
17,    75 to 79 years,4.2%,4.1%,4.3%
18,    80 to 84 years,1.6%,1.6%,1.6%
19,    85 years and over,2.3%,1.5%,3.2%
