,Label (Grouping),"Mono County, California!!Total!!Estimate","Mono County, California!!Male!!Estimate","Mono County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.2%,4.6%,7.9%
3,    5 to 9 years,5.7%,4.4%,7.2%
4,    10 to 14 years,7.0%,7.2%,6.7%
5,    15 to 19 years,5.5%,6.7%,4.0%
6,    20 to 24 years,7.4%,8.5%,6.2%
7,    25 to 29 years,8.2%,8.3%,8.0%
8,    30 to 34 years,6.8%,8.0%,5.4%
9,    35 to 39 years,6.6%,5.6%,7.7%
10,    40 to 44 years,8.1%,9.2%,6.9%
11,    45 to 49 years,7.3%,6.4%,8.4%
12,    50 to 54 years,8.0%,8.2%,7.7%
13,    55 to 59 years,7.1%,6.8%,7.4%
14,    60 to 64 years,6.6%,6.2%,7.1%
15,    65 to 69 years,4.8%,4.2%,5.6%
16,    70 to 74 years,1.6%,1.9%,1.3%
17,    75 to 79 years,1.6%,2.3%,0.9%
18,    80 to 84 years,0.5%,0.6%,0.4%
19,    85 years and over,1.0%,0.7%,1.3%
