,Label (Grouping),"Monterey County, California!!Total!!Estimate","Monterey County, California!!Male!!Estimate","Monterey County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.9%,7.9%,8.0%
3,    5 to 9 years,7.5%,7.5%,7.6%
4,    10 to 14 years,6.8%,6.9%,6.7%
5,    15 to 19 years,7.7%,7.8%,7.7%
6,    20 to 24 years,7.9%,8.4%,7.4%
7,    25 to 29 years,7.7%,8.1%,7.3%
8,    30 to 34 years,7.2%,7.6%,6.8%
9,    35 to 39 years,6.8%,7.4%,6.2%
10,    40 to 44 years,6.4%,6.4%,6.4%
11,    45 to 49 years,6.4%,6.5%,6.3%
12,    50 to 54 years,6.4%,6.3%,6.5%
13,    55 to 59 years,5.5%,5.3%,5.6%
14,    60 to 64 years,4.9%,4.8%,5.1%
15,    65 to 69 years,3.1%,3.0%,3.3%
16,    70 to 74 years,2.5%,2.1%,2.8%
17,    75 to 79 years,2.0%,1.6%,2.3%
18,    80 to 84 years,1.5%,1.2%,1.9%
19,    85 years and over,1.7%,1.2%,2.2%
