,Label (Grouping),"Nevada County, California!!Total!!Estimate","Nevada County, California!!Male!!Estimate","Nevada County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.3%,4.7%,3.9%
3,    5 to 9 years,4.7%,5.1%,4.3%
4,    10 to 14 years,5.4%,5.2%,5.6%
5,    15 to 19 years,5.6%,6.4%,4.9%
6,    20 to 24 years,4.7%,5.0%,4.3%
7,    25 to 29 years,4.5%,4.6%,4.4%
8,    30 to 34 years,5.2%,5.4%,5.0%
9,    35 to 39 years,5.1%,5.1%,5.2%
10,    40 to 44 years,5.3%,5.6%,5.1%
11,    45 to 49 years,5.8%,5.9%,5.8%
12,    50 to 54 years,7.4%,7.1%,7.8%
13,    55 to 59 years,8.7%,8.2%,9.1%
14,    60 to 64 years,9.8%,9.4%,10.2%
15,    65 to 69 years,8.2%,8.2%,8.2%
16,    70 to 74 years,5.8%,5.7%,5.9%
17,    75 to 79 years,3.5%,3.2%,3.8%
18,    80 to 84 years,2.8%,2.7%,2.8%
19,    85 years and over,3.1%,2.4%,3.8%
