,Label (Grouping),"Orange County, California!!Total!!Estimate","Orange County, California!!Male!!Estimate","Orange County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.1%,6.3%,5.9%
3,    5 to 9 years,6.2%,6.6%,5.9%
4,    10 to 14 years,6.6%,6.7%,6.5%
5,    15 to 19 years,6.8%,7.0%,6.6%
6,    20 to 24 years,7.2%,7.5%,7.0%
7,    25 to 29 years,7.2%,7.6%,6.9%
8,    30 to 34 years,6.8%,7.0%,6.6%
9,    35 to 39 years,6.5%,6.4%,6.5%
10,    40 to 44 years,7.1%,7.1%,7.1%
11,    45 to 49 years,7.3%,7.3%,7.3%
12,    50 to 54 years,7.2%,7.3%,7.2%
13,    55 to 59 years,6.5%,6.5%,6.5%
14,    60 to 64 years,5.3%,5.1%,5.5%
15,    65 to 69 years,4.3%,4.0%,4.5%
16,    70 to 74 years,3.1%,3.0%,3.3%
17,    75 to 79 years,2.3%,2.0%,2.5%
18,    80 to 84 years,1.7%,1.5%,1.9%
19,    85 years and over,1.8%,1.3%,2.3%
