,Label (Grouping),"Riverside County, California!!Total!!Estimate","Riverside County, California!!Male!!Estimate","Riverside County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.8%,7.0%,6.6%
3,    5 to 9 years,7.4%,7.6%,7.1%
4,    10 to 14 years,7.5%,7.7%,7.4%
5,    15 to 19 years,7.7%,7.9%,7.5%
6,    20 to 24 years,7.4%,7.6%,7.2%
7,    25 to 29 years,6.9%,7.1%,6.7%
8,    30 to 34 years,6.6%,6.7%,6.6%
9,    35 to 39 years,6.4%,6.3%,6.5%
10,    40 to 44 years,6.4%,6.4%,6.4%
11,    45 to 49 years,6.5%,6.6%,6.4%
12,    50 to 54 years,6.5%,6.6%,6.4%
13,    55 to 59 years,5.7%,5.7%,5.8%
14,    60 to 64 years,5.0%,4.8%,5.1%
15,    65 to 69 years,4.3%,4.0%,4.6%
16,    70 to 74 years,3.1%,3.0%,3.3%
17,    75 to 79 years,2.4%,2.2%,2.6%
18,    80 to 84 years,1.7%,1.6%,1.9%
19,    85 years and over,1.6%,1.2%,2.0%
