,Label (Grouping),"San Joaquin County, California!!Total!!Estimate","San Joaquin County, California!!Male!!Estimate","San Joaquin County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.3%,7.6%,7.1%
3,    5 to 9 years,7.8%,7.8%,7.7%
4,    10 to 14 years,8.0%,8.4%,7.6%
5,    15 to 19 years,7.7%,8.0%,7.4%
6,    20 to 24 years,7.3%,7.6%,7.0%
7,    25 to 29 years,6.9%,7.0%,6.7%
8,    30 to 34 years,6.7%,6.8%,6.6%
9,    35 to 39 years,6.5%,6.4%,6.5%
10,    40 to 44 years,6.4%,6.4%,6.4%
11,    45 to 49 years,6.4%,6.5%,6.3%
12,    50 to 54 years,6.5%,6.5%,6.5%
13,    55 to 59 years,5.8%,5.8%,5.9%
14,    60 to 64 years,5.0%,4.8%,5.2%
15,    65 to 69 years,3.9%,3.7%,4.2%
16,    70 to 74 years,2.9%,2.6%,3.1%
17,    75 to 79 years,2.0%,1.8%,2.2%
18,    80 to 84 years,1.4%,1.2%,1.6%
19,    85 years and over,1.5%,1.1%,1.9%
