,Label (Grouping),"San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Male!!Estimate","San Mateo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.1%,6.3%,5.8%
3,    5 to 9 years,6.2%,6.5%,5.9%
4,    10 to 14 years,5.8%,5.9%,5.7%
5,    15 to 19 years,5.4%,5.6%,5.1%
6,    20 to 24 years,5.6%,5.9%,5.3%
7,    25 to 29 years,6.8%,7.2%,6.4%
8,    30 to 34 years,7.4%,7.6%,7.2%
9,    35 to 39 years,7.5%,7.6%,7.3%
10,    40 to 44 years,7.1%,7.2%,7.0%
11,    45 to 49 years,7.3%,7.3%,7.2%
12,    50 to 54 years,7.4%,7.3%,7.4%
13,    55 to 59 years,6.9%,6.7%,7.0%
14,    60 to 64 years,6.0%,5.9%,6.1%
15,    65 to 69 years,4.6%,4.4%,4.8%
16,    70 to 74 years,3.4%,3.0%,3.8%
17,    75 to 79 years,2.6%,2.3%,2.8%
18,    80 to 84 years,1.8%,1.5%,2.1%
19,    85 years and over,2.2%,1.5%,2.8%
