,Label (Grouping),"Santa Barbara County, California!!Total!!Estimate","Santa Barbara County, California!!Male!!Estimate","Santa Barbara County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.5%,6.7%,6.2%
3,    5 to 9 years,6.5%,7.0%,6.1%
4,    10 to 14 years,5.7%,5.6%,5.9%
5,    15 to 19 years,8.3%,8.0%,8.5%
6,    20 to 24 years,11.1%,11.6%,10.6%
7,    25 to 29 years,7.0%,7.3%,6.7%
8,    30 to 34 years,6.3%,6.7%,5.9%
9,    35 to 39 years,6.0%,6.1%,5.8%
10,    40 to 44 years,5.4%,5.6%,5.2%
11,    45 to 49 years,5.5%,5.6%,5.4%
12,    50 to 54 years,5.7%,5.7%,5.7%
13,    55 to 59 years,5.8%,5.9%,5.6%
14,    60 to 64 years,5.6%,5.1%,6.0%
15,    65 to 69 years,4.8%,4.8%,4.8%
16,    70 to 74 years,3.2%,2.8%,3.7%
17,    75 to 79 years,2.4%,2.1%,2.7%
18,    80 to 84 years,2.1%,1.9%,2.4%
19,    85 years and over,2.1%,1.5%,2.6%
