,Label (Grouping),"Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,7.0%,7.1%,6.8%
3,    5 to 9 years,6.8%,6.8%,6.7%
4,    10 to 14 years,6.4%,6.5%,6.2%
5,    15 to 19 years,6.4%,6.6%,6.2%
6,    20 to 24 years,6.4%,6.7%,6.0%
7,    25 to 29 years,7.5%,7.8%,7.3%
8,    30 to 34 years,7.7%,7.8%,7.5%
9,    35 to 39 years,7.9%,8.0%,7.8%
10,    40 to 44 years,7.7%,7.9%,7.6%
11,    45 to 49 years,7.7%,7.8%,7.5%
12,    50 to 54 years,7.0%,7.1%,7.0%
13,    55 to 59 years,5.8%,5.7%,5.9%
14,    60 to 64 years,4.7%,4.5%,4.9%
15,    65 to 69 years,3.4%,3.2%,3.7%
16,    70 to 74 years,2.6%,2.4%,2.8%
17,    75 to 79 years,2.0%,1.7%,2.2%
18,    80 to 84 years,1.6%,1.4%,1.9%
19,    85 years and over,1.5%,1.0%,2.0%
