,Label (Grouping),"Santa Cruz County, California!!Total!!Estimate","Santa Cruz County, California!!Male!!Estimate","Santa Cruz County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.5%,5.7%,5.4%
3,    5 to 9 years,5.5%,5.7%,5.4%
4,    10 to 14 years,5.6%,5.9%,5.4%
5,    15 to 19 years,8.4%,8.5%,8.4%
6,    20 to 24 years,10.2%,10.3%,10.0%
7,    25 to 29 years,6.1%,6.4%,5.7%
8,    30 to 34 years,6.1%,6.2%,5.9%
9,    35 to 39 years,6.0%,6.3%,5.7%
10,    40 to 44 years,5.9%,5.8%,6.0%
11,    45 to 49 years,6.3%,6.3%,6.3%
12,    50 to 54 years,6.9%,6.9%,6.9%
13,    55 to 59 years,7.4%,6.9%,7.9%
14,    60 to 64 years,6.6%,6.9%,6.3%
15,    65 to 69 years,5.2%,5.0%,5.4%
16,    70 to 74 years,3.1%,3.1%,3.0%
17,    75 to 79 years,2.1%,1.8%,2.3%
18,    80 to 84 years,1.4%,1.2%,1.7%
19,    85 years and over,1.8%,1.2%,2.3%
