,Label (Grouping),"Sierra County, California!!Total!!Estimate","Sierra County, California!!Male!!Estimate","Sierra County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,3.5%,2.6%,4.5%
3,    5 to 9 years,5.3%,5.5%,5.0%
4,    10 to 14 years,4.4%,5.0%,3.9%
5,    15 to 19 years,3.4%,4.5%,2.3%
6,    20 to 24 years,2.2%,1.8%,2.6%
7,    25 to 29 years,2.6%,3.2%,2.1%
8,    30 to 34 years,3.9%,4.0%,3.8%
9,    35 to 39 years,6.2%,5.5%,6.9%
10,    40 to 44 years,4.8%,2.8%,6.8%
11,    45 to 49 years,4.9%,7.0%,2.8%
12,    50 to 54 years,8.2%,8.6%,7.9%
13,    55 to 59 years,16.1%,13.0%,19.2%
14,    60 to 64 years,8.4%,10.4%,6.3%
15,    65 to 69 years,10.7%,11.4%,10.1%
16,    70 to 74 years,5.9%,6.4%,5.4%
17,    75 to 79 years,3.0%,3.2%,2.8%
18,    80 to 84 years,3.3%,1.5%,5.0%
19,    85 years and over,3.2%,3.7%,2.6%
