,Label (Grouping),"Solano County, California!!Total!!Estimate","Solano County, California!!Male!!Estimate","Solano County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.2%,6.5%,6.0%
3,    5 to 9 years,6.2%,6.2%,6.3%
4,    10 to 14 years,6.2%,6.7%,5.8%
5,    15 to 19 years,6.1%,6.3%,5.8%
6,    20 to 24 years,6.9%,7.5%,6.3%
7,    25 to 29 years,7.6%,8.0%,7.2%
8,    30 to 34 years,7.0%,7.3%,6.8%
9,    35 to 39 years,6.6%,6.5%,6.7%
10,    40 to 44 years,5.6%,5.8%,5.4%
11,    45 to 49 years,6.3%,6.3%,6.4%
12,    50 to 54 years,7.0%,7.0%,7.0%
13,    55 to 59 years,7.0%,7.1%,6.9%
14,    60 to 64 years,6.5%,5.8%,7.3%
15,    65 to 69 years,5.4%,5.0%,5.8%
16,    70 to 74 years,3.5%,3.3%,3.7%
17,    75 to 79 years,2.4%,2.0%,2.7%
18,    80 to 84 years,1.5%,1.5%,1.6%
19,    85 years and over,1.9%,1.3%,2.4%
