,Label (Grouping),"Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Male!!Estimate","Sonoma County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.8%,6.0%,5.6%
3,    5 to 9 years,6.1%,6.4%,5.8%
4,    10 to 14 years,6.1%,6.2%,5.9%
5,    15 to 19 years,6.9%,7.2%,6.6%
6,    20 to 24 years,6.7%,7.1%,6.2%
7,    25 to 29 years,6.5%,6.9%,6.1%
8,    30 to 34 years,6.1%,6.3%,5.8%
9,    35 to 39 years,6.2%,6.4%,6.0%
10,    40 to 44 years,6.4%,6.5%,6.3%
11,    45 to 49 years,7.3%,7.2%,7.4%
12,    50 to 54 years,7.7%,7.6%,7.9%
13,    55 to 59 years,7.4%,7.0%,7.7%
14,    60 to 64 years,6.8%,6.7%,6.8%
15,    65 to 69 years,4.5%,4.3%,4.6%
16,    70 to 74 years,3.0%,2.8%,3.3%
17,    75 to 79 years,2.4%,2.0%,2.7%
18,    80 to 84 years,1.9%,1.7%,2.2%
19,    85 years and over,2.4%,1.5%,3.2%
