,Label (Grouping),"Sutter County, California!!Total!!Estimate","Sutter County, California!!Male!!Estimate","Sutter County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,6.9%,7.3%,6.5%
3,    5 to 9 years,8.1%,8.0%,8.2%
4,    10 to 14 years,6.9%,7.4%,6.4%
5,    15 to 19 years,7.0%,7.4%,6.6%
6,    20 to 24 years,6.8%,7.1%,6.6%
7,    25 to 29 years,7.0%,7.1%,6.8%
8,    30 to 34 years,6.5%,6.4%,6.5%
9,    35 to 39 years,6.0%,5.9%,6.1%
10,    40 to 44 years,6.2%,6.4%,6.1%
11,    45 to 49 years,6.0%,6.1%,6.0%
12,    50 to 54 years,6.7%,6.6%,6.8%
13,    55 to 59 years,6.0%,5.9%,6.1%
14,    60 to 64 years,5.4%,5.3%,5.5%
15,    65 to 69 years,4.6%,4.3%,4.9%
16,    70 to 74 years,3.4%,3.2%,3.5%
17,    75 to 79 years,2.4%,2.1%,2.7%
18,    80 to 84 years,2.1%,2.0%,2.1%
19,    85 years and over,2.0%,1.5%,2.6%
