,Label (Grouping),"Trinity County, California!!Total!!Estimate","Trinity County, California!!Male!!Estimate","Trinity County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.4%,4.6%,4.2%
3,    5 to 9 years,4.6%,2.9%,6.4%
4,    10 to 14 years,5.0%,6.0%,3.9%
5,    15 to 19 years,5.7%,6.6%,4.8%
6,    20 to 24 years,3.0%,3.0%,3.0%
7,    25 to 29 years,3.7%,4.1%,3.2%
8,    30 to 34 years,4.7%,4.9%,4.4%
9,    35 to 39 years,5.8%,4.7%,6.9%
10,    40 to 44 years,5.6%,6.0%,5.3%
11,    45 to 49 years,6.3%,6.8%,5.8%
12,    50 to 54 years,7.5%,7.4%,7.6%
13,    55 to 59 years,9.1%,8.3%,9.9%
14,    60 to 64 years,10.5%,10.6%,10.4%
15,    65 to 69 years,8.9%,9.3%,8.5%
16,    70 to 74 years,5.4%,5.8%,4.9%
17,    75 to 79 years,4.2%,4.3%,4.1%
18,    80 to 84 years,3.0%,2.4%,3.6%
19,    85 years and over,2.6%,2.4%,2.8%
