,Label (Grouping),"Tulare County, California!!Total!!Estimate","Tulare County, California!!Male!!Estimate","Tulare County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.6%,8.6%,8.5%
3,    5 to 9 years,8.8%,9.3%,8.3%
4,    10 to 14 years,8.9%,8.8%,8.9%
5,    15 to 19 years,8.0%,8.0%,7.9%
6,    20 to 24 years,7.3%,7.5%,7.1%
7,    25 to 29 years,7.3%,7.3%,7.3%
8,    30 to 34 years,6.7%,6.7%,6.8%
9,    35 to 39 years,6.4%,6.9%,5.9%
10,    40 to 44 years,6.0%,5.9%,6.1%
11,    45 to 49 years,5.7%,5.7%,5.7%
12,    50 to 54 years,5.6%,5.6%,5.7%
13,    55 to 59 years,5.4%,5.1%,5.7%
14,    60 to 64 years,4.5%,4.7%,4.3%
15,    65 to 69 years,3.7%,3.4%,3.9%
16,    70 to 74 years,2.7%,2.6%,2.8%
17,    75 to 79 years,2.0%,1.8%,2.1%
18,    80 to 84 years,1.3%,1.1%,1.4%
19,    85 years and over,1.2%,0.9%,1.6%
