,Label (Grouping),"Tuolumne County, California!!Total!!Estimate","Tuolumne County, California!!Male!!Estimate","Tuolumne County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,4.2%,3.9%,4.6%
3,    5 to 9 years,5.2%,5.2%,5.2%
4,    10 to 14 years,4.2%,4.2%,4.3%
5,    15 to 19 years,5.3%,5.6%,4.9%
6,    20 to 24 years,5.5%,6.2%,4.8%
7,    25 to 29 years,5.7%,6.2%,5.1%
8,    30 to 34 years,5.9%,6.7%,5.0%
9,    35 to 39 years,5.5%,5.9%,5.0%
10,    40 to 44 years,4.9%,5.2%,4.5%
11,    45 to 49 years,5.6%,6.1%,5.1%
12,    50 to 54 years,7.1%,6.9%,7.4%
13,    55 to 59 years,8.3%,7.0%,9.7%
14,    60 to 64 years,9.1%,9.4%,8.9%
15,    65 to 69 years,7.6%,7.6%,7.5%
16,    70 to 74 years,6.1%,5.4%,6.9%
17,    75 to 79 years,3.7%,3.4%,4.1%
18,    80 to 84 years,2.9%,2.5%,3.5%
19,    85 years and over,3.1%,2.6%,3.6%
