,Label (Grouping),"Yolo County, California!!Total!!Estimate","Yolo County, California!!Male!!Estimate","Yolo County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,5.7%,5.7%,5.6%
3,    5 to 9 years,5.8%,6.5%,5.1%
4,    10 to 14 years,6.1%,5.8%,6.4%
5,    15 to 19 years,8.9%,8.9%,9.0%
6,    20 to 24 years,14.7%,14.7%,14.7%
7,    25 to 29 years,6.9%,7.6%,6.2%
8,    30 to 34 years,6.4%,6.4%,6.4%
9,    35 to 39 years,5.7%,5.5%,5.9%
10,    40 to 44 years,6.2%,6.7%,5.8%
11,    45 to 49 years,6.4%,6.6%,6.2%
12,    50 to 54 years,6.1%,6.0%,6.2%
13,    55 to 59 years,5.6%,5.5%,5.7%
14,    60 to 64 years,4.5%,4.0%,4.9%
15,    65 to 69 years,3.8%,3.3%,4.3%
16,    70 to 74 years,2.6%,2.6%,2.6%
17,    75 to 79 years,1.7%,1.8%,1.6%
18,    80 to 84 years,1.0%,1.2%,0.8%
19,    85 years and over,1.9%,1.2%,2.5%
