,Label (Grouping),"Yuba County, California!!Total!!Estimate","Yuba County, California!!Male!!Estimate","Yuba County, California!!Female!!Estimate"
1,AGE,,,
2,    Under 5 years,8.5%,7.8%,9.3%
3,    5 to 9 years,9.2%,10.4%,8.0%
4,    10 to 14 years,6.4%,5.4%,7.5%
5,    15 to 19 years,5.9%,5.8%,6.0%
6,    20 to 24 years,9.2%,9.9%,8.6%
7,    25 to 29 years,8.0%,8.3%,7.7%
8,    30 to 34 years,6.4%,6.0%,6.8%
9,    35 to 39 years,5.5%,6.1%,4.9%
10,    40 to 44 years,6.3%,6.4%,6.3%
11,    45 to 49 years,5.6%,5.7%,5.5%
12,    50 to 54 years,6.8%,7.0%,6.7%
13,    55 to 59 years,5.7%,5.2%,6.2%
14,    60 to 64 years,6.0%,6.9%,5.1%
15,    65 to 69 years,3.7%,3.4%,4.0%
16,    70 to 74 years,2.3%,2.1%,2.4%
17,    75 to 79 years,1.7%,2.0%,1.5%
18,    80 to 84 years,1.5%,1.3%,1.6%
19,    85 years and over,1.2%,0.5%,2.0%
