,Label (Grouping),United States!!Total!!Estimate,United States!!Male!!Estimate,United States!!Female!!Estimate
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.7%,13.2%,12.3%
22,    15 to 17 years,3.9%,4.1%,3.8%
23,    18 to 24 years,9.6%,10.0%,9.2%
24,    15 to 44 years,39.8%,40.9%,38.8%
25,    16 years and over,79.8%,79.0%,80.6%
26,    18 years and over,77.2%,76.3%,78.1%
27,    60 years and over,21.3%,19.6%,23.0%
28,    62 years and over,18.8%,17.1%,20.4%
29,    65 years and over,15.2%,13.7%,16.7%
30,    75 years and over,6.4%,5.3%,7.4%
