,Label (Grouping),"Alameda County, California!!Total!!Estimate","Alameda County, California!!Male!!Estimate","Alameda County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.9%,12.4%,11.4%
22,    15 to 17 years,3.4%,3.6%,3.3%
23,    18 to 24 years,9.2%,9.5%,9.0%
24,    15 to 44 years,43.5%,44.2%,42.7%
25,    16 years and over,80.9%,80.1%,81.6%
26,    18 years and over,78.6%,77.7%,79.4%
27,    60 years and over,18.0%,16.4%,19.5%
28,    62 years and over,15.7%,14.1%,17.2%
29,    65 years and over,12.4%,11.0%,13.8%
30,    75 years and over,5.3%,4.3%,6.2%
