,Label (Grouping),"Alpine County, California!!Total!!Estimate","Alpine County, California!!Male!!Estimate","Alpine County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.6%,10.6%,12.9%
22,    15 to 17 years,5.9%,5.4%,6.6%
23,    18 to 24 years,10.5%,8.4%,13.3%
24,    15 to 44 years,37.0%,38.0%,35.8%
25,    16 years and over,82.6%,80.3%,85.6%
26,    18 years and over,77.4%,75.5%,79.9%
27,    60 years and over,20.0%,18.2%,22.2%
28,    62 years and over,17.0%,16.0%,18.2%
29,    65 years and over,12.3%,11.4%,13.4%
30,    75 years and over,5.0%,6.3%,3.4%
