,Label (Grouping),"Amador County, California!!Total!!Estimate","Amador County, California!!Male!!Estimate","Amador County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,9.4%,8.9%,10.0%
22,    15 to 17 years,3.8%,3.9%,3.7%
23,    18 to 24 years,6.8%,7.5%,5.9%
24,    15 to 44 years,31.5%,35.1%,27.1%
25,    16 years and over,86.0%,87.6%,84.1%
26,    18 years and over,83.2%,84.5%,81.8%
27,    60 years and over,29.0%,26.5%,32.1%
28,    62 years and over,25.4%,23.0%,28.3%
29,    65 years and over,20.8%,18.5%,23.6%
30,    75 years and over,8.8%,7.4%,10.5%
