,Label (Grouping),"Colusa County, California!!Total!!Estimate","Colusa County, California!!Male!!Estimate","Colusa County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.9%,16.2%,15.6%
22,    15 to 17 years,4.5%,4.5%,4.6%
23,    18 to 24 years,9.5%,10.0%,9.0%
24,    15 to 44 years,38.8%,39.4%,38.2%
25,    16 years and over,75.0%,74.7%,75.3%
26,    18 years and over,72.2%,72.1%,72.3%
27,    60 years and over,18.6%,18.2%,19.0%
28,    62 years and over,16.5%,16.0%,17.0%
29,    65 years and over,13.0%,12.2%,13.9%
30,    75 years and over,5.2%,4.5%,6.0%
