,Label (Grouping),"Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Male!!Estimate","Contra Costa County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.5%,14.1%,12.9%
22,    15 to 17 years,4.2%,4.4%,3.9%
23,    18 to 24 years,8.5%,9.0%,8.1%
24,    15 to 44 years,38.7%,39.6%,37.8%
25,    16 years and over,79.2%,78.3%,80.1%
26,    18 years and over,76.5%,75.4%,77.5%
27,    60 years and over,20.2%,18.4%,21.8%
28,    62 years and over,17.7%,16.0%,19.4%
29,    65 years and over,14.2%,12.7%,15.6%
30,    75 years and over,6.0%,5.0%,7.0%
