,Label (Grouping),"Glenn County, California!!Total!!Estimate","Glenn County, California!!Male!!Estimate","Glenn County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.4%,16.2%,14.5%
22,    15 to 17 years,5.0%,4.8%,5.2%
23,    18 to 24 years,9.5%,9.4%,9.5%
24,    15 to 44 years,38.1%,38.6%,37.7%
25,    16 years and over,75.4%,74.3%,76.5%
26,    18 years and over,72.1%,71.2%,73.1%
27,    60 years and over,18.8%,17.8%,19.9%
28,    62 years and over,16.3%,14.9%,17.6%
29,    65 years and over,13.2%,12.0%,14.5%
30,    75 years and over,6.0%,4.8%,7.2%
