,Label (Grouping),"Humboldt County, California!!Total!!Estimate","Humboldt County, California!!Male!!Estimate","Humboldt County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.0%,11.3%,10.7%
22,    15 to 17 years,3.3%,3.0%,3.6%
23,    18 to 24 years,12.1%,12.1%,12.1%
24,    15 to 44 years,42.3%,43.9%,40.7%
25,    16 years and over,82.7%,82.0%,83.5%
26,    18 years and over,80.3%,79.6%,80.9%
27,    60 years and over,20.8%,18.6%,22.9%
28,    62 years and over,17.9%,16.3%,19.4%
29,    65 years and over,14.3%,12.8%,15.8%
30,    75 years and over,6.2%,4.9%,7.4%
