,Label (Grouping),"Inyo County, California!!Total!!Estimate","Inyo County, California!!Male!!Estimate","Inyo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.3%,11.6%,11.0%
22,    15 to 17 years,4.0%,4.1%,3.9%
23,    18 to 24 years,6.6%,7.0%,6.2%
24,    15 to 44 years,31.9%,32.5%,31.4%
25,    16 years and over,81.5%,80.6%,82.3%
26,    18 years and over,78.8%,77.5%,80.1%
27,    60 years and over,26.4%,24.5%,28.4%
28,    62 years and over,23.6%,22.3%,24.8%
29,    65 years and over,19.1%,17.1%,21.1%
30,    75 years and over,9.4%,7.7%,11.2%
