,Label (Grouping),"Kings County, California!!Total!!Estimate","Kings County, California!!Male!!Estimate","Kings County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,14.9%,13.4%,16.8%
22,    15 to 17 years,4.4%,3.9%,5.1%
23,    18 to 24 years,11.6%,12.1%,11.0%
24,    15 to 44 years,47.1%,50.1%,43.3%
25,    16 years and over,75.3%,77.5%,72.3%
26,    18 years and over,72.2%,75.0%,68.7%
27,    60 years and over,11.6%,10.1%,13.4%
28,    62 years and over,10.1%,8.7%,11.9%
29,    65 years and over,8.0%,6.5%,9.9%
30,    75 years and over,3.4%,2.4%,4.7%
