,Label (Grouping),"Los Angeles County, California!!Total!!Estimate","Los Angeles County, California!!Male!!Estimate","Los Angeles County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.9%,13.4%,12.4%
22,    15 to 17 years,4.3%,4.4%,4.1%
23,    18 to 24 years,10.8%,11.2%,10.5%
24,    15 to 44 years,44.5%,45.7%,43.3%
25,    16 years and over,79.2%,78.5%,79.9%
26,    18 years and over,76.3%,75.5%,77.1%
27,    60 years and over,16.4%,14.6%,18.1%
28,    62 years and over,14.3%,12.6%,15.9%
29,    65 years and over,11.5%,10.0%,13.0%
30,    75 years and over,5.2%,4.2%,6.2%
