,Label (Grouping),"Mariposa County, California!!Total!!Estimate","Mariposa County, California!!Male!!Estimate","Mariposa County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,8.9%,9.2%,8.7%
22,    15 to 17 years,3.5%,3.3%,3.6%
23,    18 to 24 years,6.7%,6.9%,6.5%
24,    15 to 44 years,29.4%,30.0%,28.8%
25,    16 years and over,85.5%,84.5%,86.6%
26,    18 years and over,83.5%,82.9%,84.0%
27,    60 years and over,34.4%,33.8%,35.0%
28,    62 years and over,30.0%,29.5%,30.4%
29,    65 years and over,24.8%,23.9%,25.8%
30,    75 years and over,9.7%,8.8%,10.6%
