,Label (Grouping),"Mendocino County, California!!Total!!Estimate","Mendocino County, California!!Male!!Estimate","Mendocino County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.4%,12.3%,12.5%
22,    15 to 17 years,3.6%,3.0%,4.2%
23,    18 to 24 years,7.3%,7.9%,6.7%
24,    15 to 44 years,33.8%,34.6%,33.0%
25,    16 years and over,80.7%,81.1%,80.3%
26,    18 years and over,78.0%,78.4%,77.5%
27,    60 years and over,28.7%,27.6%,29.7%
28,    62 years and over,24.7%,23.8%,25.7%
29,    65 years and over,19.9%,18.5%,21.3%
30,    75 years and over,7.4%,5.8%,8.8%
