,Label (Grouping),"Merced County, California!!Total!!Estimate","Merced County, California!!Male!!Estimate","Merced County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,16.8%,16.9%,16.7%
22,    15 to 17 years,5.0%,5.2%,4.8%
23,    18 to 24 years,11.3%,11.4%,11.2%
24,    15 to 44 years,43.0%,43.8%,42.2%
25,    16 years and over,73.2%,72.6%,73.7%
26,    18 years and over,70.1%,69.6%,70.7%
27,    60 years and over,15.8%,14.5%,17.1%
28,    62 years and over,13.3%,12.1%,14.5%
29,    65 years and over,10.8%,9.8%,11.8%
30,    75 years and over,4.6%,3.9%,5.3%
