,Label (Grouping),"Placer County, California!!Total!!Estimate","Placer County, California!!Male!!Estimate","Placer County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.7%,14.4%,13.0%
22,    15 to 17 years,4.3%,4.4%,4.3%
23,    18 to 24 years,7.9%,8.7%,7.2%
24,    15 to 44 years,36.4%,37.3%,35.6%
25,    16 years and over,79.4%,78.4%,80.3%
26,    18 years and over,76.4%,75.2%,77.6%
27,    60 years and over,22.6%,21.5%,23.7%
28,    62 years and over,19.9%,18.8%,21.0%
29,    65 years and over,16.7%,15.2%,18.2%
30,    75 years and over,7.3%,6.2%,8.4%
