,Label (Grouping),"Plumas County, California!!Total!!Estimate","Plumas County, California!!Male!!Estimate","Plumas County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,10.3%,10.6%,10.0%
22,    15 to 17 years,3.4%,3.6%,3.1%
23,    18 to 24 years,6.6%,6.9%,6.3%
24,    15 to 44 years,29.4%,30.0%,28.7%
25,    16 years and over,83.8%,83.5%,84.0%
26,    18 years and over,81.8%,80.9%,82.7%
27,    60 years and over,29.9%,28.6%,31.3%
28,    62 years and over,26.4%,25.7%,27.2%
29,    65 years and over,21.4%,20.8%,22.1%
30,    75 years and over,8.1%,7.3%,9.0%
