,Label (Grouping),"Sacramento County, California!!Total!!Estimate","Sacramento County, California!!Male!!Estimate","Sacramento County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.9%,14.5%,13.3%
22,    15 to 17 years,4.5%,4.7%,4.3%
23,    18 to 24 years,10.1%,10.4%,9.7%
24,    15 to 44 years,42.7%,43.7%,41.6%
25,    16 years and over,77.5%,76.5%,78.4%
26,    18 years and over,74.5%,73.4%,75.6%
27,    60 years and over,16.3%,14.6%,17.9%
28,    62 years and over,14.1%,12.5%,15.6%
29,    65 years and over,11.3%,9.8%,12.8%
30,    75 years and over,5.3%,4.3%,6.3%
