,Label (Grouping),"San Benito County, California!!Total!!Estimate","San Benito County, California!!Male!!Estimate","San Benito County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.4%,15.5%,15.3%
22,    15 to 17 years,4.9%,5.0%,4.8%
23,    18 to 24 years,9.8%,10.1%,9.4%
24,    15 to 44 years,40.7%,41.5%,39.9%
25,    16 years and over,76.2%,75.8%,76.6%
26,    18 years and over,72.9%,72.6%,73.3%
27,    60 years and over,16.7%,15.4%,17.9%
28,    62 years and over,14.4%,13.7%,15.1%
29,    65 years and over,11.2%,10.5%,12.0%
30,    75 years and over,4.6%,3.9%,5.2%
