,Label (Grouping),United States!!Total!!Estimate,United States!!Male!!Estimate,United States!!Female!!Estimate
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.1%,13.7%,12.6%
22,    15 to 17 years,4.0%,4.2%,3.8%
23,    18 to 24 years,10.0%,10.4%,9.6%
24,    15 to 44 years,40.4%,41.5%,39.4%
25,    16 years and over,79.2%,78.4%,80.0%
26,    18 years and over,76.5%,75.6%,77.4%
27,    60 years and over,19.5%,17.8%,21.1%
28,    62 years and over,17.1%,15.4%,18.7%
29,    65 years and over,13.7%,12.2%,15.3%
30,    75 years and over,6.1%,4.9%,7.2%
