,Label (Grouping),"San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Male!!Estimate","San Francisco County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,7.0%,6.9%,7.0%
22,    15 to 17 years,2.0%,2.0%,2.0%
23,    18 to 24 years,7.8%,7.4%,8.3%
24,    15 to 44 years,48.5%,49.2%,47.8%
25,    16 years and over,87.8%,87.8%,87.9%
26,    18 years and over,86.5%,86.5%,86.5%
27,    60 years and over,20.3%,18.4%,22.3%
28,    62 years and over,17.9%,16.0%,19.9%
29,    65 years and over,14.4%,12.6%,16.3%
30,    75 years and over,6.8%,5.4%,8.1%
