,Label (Grouping),"San Bernardino County, California!!Total!!Estimate","San Bernardino County, California!!Male!!Estimate","San Bernardino County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.2%,15.7%,14.8%
22,    15 to 17 years,4.8%,4.9%,4.7%
23,    18 to 24 years,11.2%,11.8%,10.7%
24,    15 to 44 years,43.4%,44.3%,42.6%
25,    16 years and over,75.9%,75.3%,76.5%
26,    18 years and over,72.6%,71.9%,73.4%
27,    60 years and over,15.2%,14.0%,16.5%
28,    62 years and over,13.0%,11.9%,14.2%
29,    65 years and over,10.4%,9.3%,11.4%
30,    75 years and over,4.2%,3.4%,4.9%
