,Label (Grouping),"San Diego County, California!!Total!!Estimate","San Diego County, California!!Male!!Estimate","San Diego County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.9%,12.1%,11.8%
22,    15 to 17 years,3.6%,3.6%,3.5%
23,    18 to 24 years,10.7%,11.8%,9.5%
24,    15 to 44 years,43.7%,45.6%,41.8%
25,    16 years and over,80.4%,80.1%,80.8%
26,    18 years and over,78.0%,77.7%,78.4%
27,    60 years and over,19.0%,17.1%,20.9%
28,    62 years and over,16.6%,14.8%,18.4%
29,    65 years and over,13.4%,11.8%,15.1%
30,    75 years and over,5.7%,4.7%,6.8%
