,Label (Grouping),"San Luis Obispo County, California!!Total!!Estimate","San Luis Obispo County, California!!Male!!Estimate","San Luis Obispo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,10.2%,10.1%,10.2%
22,    15 to 17 years,3.2%,3.2%,3.1%
23,    18 to 24 years,15.6%,16.8%,14.4%
24,    15 to 44 years,40.9%,43.3%,38.5%
25,    16 years and over,83.8%,83.9%,83.8%
26,    18 years and over,81.8%,81.7%,81.8%
27,    60 years and over,24.5%,22.3%,26.7%
28,    62 years and over,21.6%,19.7%,23.6%
29,    65 years and over,17.6%,15.9%,19.3%
30,    75 years and over,7.5%,6.3%,8.8%
