,Label (Grouping),"Shasta County, California!!Total!!Estimate","Shasta County, California!!Male!!Estimate","Shasta County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.7%,12.5%,11.0%
22,    15 to 17 years,4.7%,5.5%,3.9%
23,    18 to 24 years,8.5%,8.5%,8.4%
24,    15 to 44 years,35.6%,37.1%,34.1%
25,    16 years and over,80.9%,79.6%,82.2%
26,    18 years and over,78.0%,75.9%,80.1%
27,    60 years and over,25.4%,23.7%,27.1%
28,    62 years and over,22.4%,21.0%,23.7%
29,    65 years and over,18.3%,16.6%,19.9%
30,    75 years and over,7.9%,6.6%,9.2%
