,Label (Grouping),"Siskiyou County, California!!Total!!Estimate","Siskiyou County, California!!Male!!Estimate","Siskiyou County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,11.5%,11.7%,11.2%
22,    15 to 17 years,3.8%,4.1%,3.5%
23,    18 to 24 years,7.3%,7.9%,6.7%
24,    15 to 44 years,30.8%,32.0%,29.6%
25,    16 years and over,82.0%,81.5%,82.5%
26,    18 years and over,79.4%,78.5%,80.3%
27,    60 years and over,28.7%,27.4%,30.0%
28,    62 years and over,25.0%,23.9%,26.0%
29,    65 years and over,20.0%,19.1%,20.8%
30,    75 years and over,8.6%,7.4%,9.9%
