,Label (Grouping),"Trinity County, California!!Total!!Estimate","Trinity County, California!!Male!!Estimate","Trinity County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,9.9%,8.2%,11.7%
22,    15 to 17 years,3.5%,3.2%,3.8%
23,    18 to 24 years,5.6%,5.8%,5.3%
24,    15 to 44 years,28.6%,30.3%,26.8%
25,    16 years and over,83.0%,86.1%,79.8%
26,    18 years and over,80.6%,83.6%,77.5%
27,    60 years and over,28.9%,30.3%,27.4%
28,    62 years and over,25.7%,27.0%,24.3%
29,    65 years and over,20.0%,21.5%,18.5%
30,    75 years and over,7.9%,7.9%,8.0%
