,Label (Grouping),"Tehama County, California!!Total!!Estimate","Tehama County, California!!Male!!Estimate","Tehama County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.9%,14.2%,13.5%
22,    15 to 17 years,4.7%,4.7%,4.8%
23,    18 to 24 years,8.3%,8.7%,7.9%
24,    15 to 44 years,36.0%,36.9%,35.2%
25,    16 years and over,77.9%,77.4%,78.4%
26,    18 years and over,74.6%,74.1%,75.2%
27,    60 years and over,21.9%,20.6%,23.2%
28,    62 years and over,19.6%,18.5%,20.7%
29,    65 years and over,16.1%,14.9%,17.2%
30,    75 years and over,6.9%,6.1%,7.7%
