,Label (Grouping),"Ventura County, California!!Total!!Estimate","Ventura County, California!!Male!!Estimate","Ventura County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.9%,14.2%,13.6%
22,    15 to 17 years,4.5%,4.7%,4.2%
23,    18 to 24 years,10.1%,10.6%,9.6%
24,    15 to 44 years,40.4%,41.8%,39.1%
25,    16 years and over,77.9%,77.5%,78.3%
26,    18 years and over,75.1%,74.4%,75.8%
27,    60 years and over,17.9%,16.3%,19.5%
28,    62 years and over,15.8%,14.2%,17.3%
29,    65 years and over,12.6%,11.2%,14.0%
30,    75 years and over,5.7%,4.7%,6.7%
