,Label (Grouping),"Ventura County, California!!Total!!Estimate","Ventura County, California!!Male!!Estimate","Ventura County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,14.2%,14.6%,13.8%
22,    15 to 17 years,4.7%,4.9%,4.6%
23,    18 to 24 years,9.9%,10.5%,9.3%
24,    15 to 44 years,40.9%,42.2%,39.7%
25,    16 years and over,77.5%,77.0%,78.1%
26,    18 years and over,74.4%,73.6%,75.1%
27,    60 years and over,17.1%,15.6%,18.6%
28,    62 years and over,14.8%,13.2%,16.3%
29,    65 years and over,11.9%,10.5%,13.3%
30,    75 years and over,5.5%,4.5%,6.5%
