,Counties,Year,time_period
0,Colusa County (5 YR),2016,5Y
1,Colusa County (5 YR),2012,5Y
2,"Glenn County, CA",2016,5Y
3,"Glenn County, CA",2012,5Y
4,Del Norte County (5 YR),2016,5Y
5,Del Norte County (5 YR),2012,5Y
6,Fresno County,2016,1Y
7,Fresno County,2012,1Y
8,Fresno County,2012,5Y
9,Fresno County,2016,5Y
10,"Humboldt County, CA",2016,1Y
11,"Humboldt County, CA",2012,1Y
12,"Humboldt County, CA",2016,5Y
13,"Humboldt County, CA",2012,5Y
14,"Inyo County, CA",2016,5Y
15,"Inyo County, CA",2012,5Y
16,"Kern County, CA",2016,1Y
17,"Kern County, CA",2012,1Y
18,"Kern County, CA",2012,5Y
19,"Kern County, CA",2016,5Y
20,Contra Costa County,2016,1Y
21,Contra Costa County,2012,1Y
22,Contra Costa County,2015,5Y
23,Contra Costa County,2012,5Y
24,El Dorado County,2016,1Y
25,El Dorado County,2016,5Y
26,El Dorado County,2012,1Y
27,El Dorado County,2012,5Y
28,"Imperial County, CA",2012,5Y
29,"Imperial County, CA",2012,1Y
30,"Imperial County, CA",2016,5Y
31,"Imperial County, CA",2016,1Y
32,Calaveras County (5 YR),2016,5Y
33,Calaveras County (5 YR),2012,5Y
34,Kings county,2016,1Y
35,Kings county,2012,1Y
36,Kings county,2016,5Y
37,Kings county,2012,5Y
38,Amador County (5 YR),2016,5Y
39,Amador County (5 YR),2012,5Y
40,Butte County,2012,1Y
41,Butte County,2012,5Y
42,Butte County,2016,1Y
43,Butte County,2016,5Y
44,Alameda County,2012,1Y
45,Alameda County,2012,5Y
46,Alameda County,2016,1Y
47,Alameda County,2016,5Y
48,Alpine County (5 YR),2016,5Y
49,Alpine County (5 YR),2012,5Y
50,"Merced County, CA",2016,1Y
51,"Merced County, CA",2012,1Y
52,"Merced County, CA",2016,5Y
53,"Merced County, CA",2012,5Y
54,"Mono County, CA",2012,5Y
55,"Mono County, CA",2016,5Y
56,"Mariposa County, CA",2012,5Y
57,"Mariposa County, CA",2012,5Y
58,"Madera County, CA",2016,1Y
59,"Madera County, CA",2012,1Y
