,    Under 5 years,Year,    5 to 9 years,    10 to 14 years,    15 to 19 years,    20 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 to 64 years,    65 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over,Counties,time_period
"Colusa County, California!!Total!!Estimate",7.4%,,7.8%,8.1%,7.2%,6.9%,6.6%,6.4%,6.3%,5.5%,6.1%,6.6%,6.6%,5.6%,4.5%,3.3%,2.4%,1.8%,1.0%,,
"Colusa County, California!!Total!!Estimate",7.4%,,7.8%,8.1%,7.2%,6.9%,6.6%,6.4%,6.3%,5.5%,6.1%,6.6%,6.6%,5.6%,4.5%,3.3%,2.4%,1.8%,1.0%,,
"Colusa County, California!!Total!!Estimate",8.6%,,8.4%,7.5%,8.4%,6.0%,6.4%,6.0%,5.9%,6.9%,6.4%,6.6%,5.4%,5.5%,4.3%,2.2%,1.7%,2.4%,1.3%,,
"Glenn County, California!!Total!!Estimate",7.3%,,7.1%,8.0%,7.1%,6.7%,6.1%,6.0%,5.3%,6.5%,5.8%,6.8%,6.3%,6.4%,5.0%,3.1%,2.8%,1.8%,1.9%,,
"Glenn County, California!!Total!!Estimate",7.5%,,6.4%,9.0%,7.4%,7.0%,6.2%,4.9%,5.8%,6.8%,6.9%,7.4%,5.8%,5.6%,4.2%,3.0%,2.0%,2.0%,2.0%,,
"Del Norte County, California!!Total!!Estimate",5.9%,,5.8%,5.8%,6.0%,6.4%,6.7%,8.1%,7.6%,4.5%,6.9%,7.2%,7.4%,6.6%,4.9%,4.2%,1.8%,2.3%,2.0%,,
"Del Norte County, California!!Total!!Estimate",6.0%,,5.0%,6.4%,6.4%,7.0%,6.8%,7.5%,6.2%,6.0%,7.6%,8.0%,7.0%,5.9%,4.5%,3.9%,2.2%,2.0%,1.7%,,
United States!!Total!!Estimate,6.1%,,6.3%,6.4%,6.7%,6.9%,7.0%,6.7%,6.5%,6.1%,6.5%,6.8%,6.7%,6.1%,5.2%,3.7%,2.6%,1.8%,1.9%,,
United States!!Total!!Estimate,6.3%,,6.5%,6.6%,6.9%,7.2%,6.8%,6.6%,6.2%,6.7%,6.9%,7.2%,6.6%,5.7%,4.4%,3.2%,2.4%,1.9%,1.9%,,
United States!!Total!!Estimate,6.5%,,6.6%,6.7%,7.1%,7.0%,6.8%,6.5%,6.5%,6.8%,7.3%,7.2%,6.4%,5.5%,4.1%,3.1%,2.4%,1.9%,1.8%,,
United States!!Total!!Estimate,6.2%,,6.4%,6.5%,6.7%,7.1%,6.9%,6.7%,6.3%,6.4%,6.6%,7.0%,6.7%,5.9%,4.8%,3.5%,2.5%,1.8%,1.9%,,
"Humboldt County, California!!Total!!Estimate",5.0%,,5.2%,6.0%,6.7%,10.0%,6.3%,6.6%,6.6%,5.8%,5.9%,5.3%,7.2%,6.5%,5.7%,5.1%,2.5%,1.4%,2.0%,,
"Humboldt County, California!!Total!!Estimate",5.4%,,5.8%,5.2%,6.6%,8.8%,7.0%,7.3%,6.4%,6.2%,5.4%,6.9%,8.1%,6.5%,5.2%,3.0%,2.1%,2.2%,1.8%,,
"Humboldt County, California!!Total!!Estimate",5.4%,,5.7%,5.1%,6.8%,9.7%,6.7%,7.0%,6.4%,5.7%,5.3%,6.4%,7.5%,6.9%,5.5%,3.7%,2.5%,1.7%,1.8%,,
"Humboldt County, California!!Total!!Estimate",5.6%,,5.5%,5.4%,7.2%,9.1%,7.5%,6.9%,5.9%,5.3%,6.4%,7.4%,8.1%,6.3%,4.2%,3.1%,2.3%,1.8%,1.9%,,
"Inyo County, California!!Total!!Estimate",5.8%,,5.0%,6.1%,5.7%,5.2%,5.2%,5.9%,5.2%,5.5%,5.3%,7.3%,7.4%,8.8%,7.1%,4.6%,3.6%,2.6%,3.6%,,
"Inyo County, California!!Total!!Estimate",5.9%,,5.2%,6.1%,5.9%,4.7%,5.4%,5.3%,5.2%,5.4%,7.7%,8.1%,8.7%,7.4%,5.7%,4.0%,3.6%,2.9%,2.9%,,
"Kern County, California!!Total!!Estimate",8.0%,,8.3%,8.2%,7.4%,7.9%,8.0%,7.4%,6.6%,5.9%,5.8%,5.8%,5.8%,4.6%,3.8%,2.5%,1.6%,1.2%,1.2%,,
"Kern County, California!!Total!!Estimate",8.6%,,8.3%,8.0%,8.0%,8.2%,7.6%,7.0%,7.0%,5.8%,6.2%,6.3%,5.1%,4.6%,3.3%,2.2%,1.6%,1.1%,1.1%,,
"Kern County, California!!Total!!Estimate",8.7%,,8.2%,8.1%,8.5%,7.9%,7.6%,6.9%,6.5%,6.4%,6.6%,6.2%,5.1%,4.1%,3.1%,2.2%,1.6%,1.2%,1.0%,,
"Kern County, California!!Total!!Estimate",8.3%,,8.4%,8.0%,7.7%,8.1%,7.8%,7.2%,6.5%,6.0%,6.0%,6.1%,5.4%,4.7%,3.5%,2.4%,1.7%,1.2%,1.1%,,
United States!!Total!!Estimate,6.1%,,6.3%,6.4%,6.7%,6.9%,7.0%,6.7%,6.5%,6.1%,6.5%,6.8%,6.7%,6.1%,5.2%,3.7%,2.6%,1.8%,1.9%,,
