,Counties,Year,time_period,subtable_headers,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
0,Colusa County (5 YR),2016,5Y,"Colusa County, California!!Total!!Estimate",7.40%,7.80%,8.10%,7.20%,6.90%,6.60%,6.40%,6.30%,5.50%,6.10%,6.60%,6.60%,5.60%,4.50%,3.30%,2.40%,1.80%,1.00%
1,Colusa County (5 YR),2012,5Y,"Colusa County, California!!Total!!Estimate",7.40%,7.80%,8.10%,7.20%,6.90%,6.60%,6.40%,6.30%,5.50%,6.10%,6.60%,6.60%,5.60%,4.50%,3.30%,2.40%,1.80%,1.00%
2,"Glenn County, CA",2016,5Y,"Colusa County, California!!Total!!Estimate",8.60%,8.40%,7.50%,8.40%,6.00%,6.40%,6.00%,5.90%,6.90%,6.40%,6.60%,5.40%,5.50%,4.30%,2.20%,1.70%,2.40%,1.30%
3,"Glenn County, CA",2012,5Y,"Glenn County, California!!Total!!Estimate",7.30%,7.10%,8.00%,7.10%,6.70%,6.10%,6.00%,5.30%,6.50%,5.80%,6.80%,6.30%,6.40%,5.00%,3.10%,2.80%,1.80%,1.90%
4,Del Norte County (5 YR),2016,5Y,"Glenn County, California!!Total!!Estimate",7.50%,6.40%,9.00%,7.40%,7.00%,6.20%,4.90%,5.80%,6.80%,6.90%,7.40%,5.80%,5.60%,4.20%,3.00%,2.00%,2.00%,2.00%
5,Del Norte County (5 YR),2012,5Y,"Del Norte County, California!!Total!!Estimate",5.90%,5.80%,5.80%,6.00%,6.40%,6.70%,8.10%,7.60%,4.50%,6.90%,7.20%,7.40%,6.60%,4.90%,4.20%,1.80%,2.30%,2.00%
6,Fresno County,2016,1Y,"Del Norte County, California!!Total!!Estimate",6.00%,5.00%,6.40%,6.40%,7.00%,6.80%,7.50%,6.20%,6.00%,7.60%,8.00%,7.00%,5.90%,4.50%,3.90%,2.20%,2.00%,1.70%
7,Fresno County,2012,1Y,United States!!Total!!Estimate,6.10%,6.30%,6.40%,6.70%,6.90%,7.00%,6.70%,6.50%,6.10%,6.50%,6.80%,6.70%,6.10%,5.20%,3.70%,2.60%,1.80%,1.90%
8,Fresno County,2012,5Y,United States!!Total!!Estimate,6.30%,6.50%,6.60%,6.90%,7.20%,6.80%,6.60%,6.20%,6.70%,6.90%,7.20%,6.60%,5.70%,4.40%,3.20%,2.40%,1.90%,1.90%
9,Fresno County,2016,5Y,United States!!Total!!Estimate,6.50%,6.60%,6.70%,7.10%,7.00%,6.80%,6.50%,6.50%,6.80%,7.30%,7.20%,6.40%,5.50%,4.10%,3.10%,2.40%,1.90%,1.80%
