Unnamed: 0,Counties,Year,winning_candidate,winner_vote_percent,ideological_label
0,Alameda County,2016,Hillary Clinton,78.7,"Liberal
Party Affiliation"
1,Alpine County (5 YR),2016,Hillary Clinton,55.5,"Liberal
Party Affiliation"
2,Amador County (5 YR),2016,Donald Trump,59.1,Populist Conservative
3,Butte County,2016,Donald Trump,47.2,Populist Conservative
4,Calaveras County (5 YR),2016,Donald Trump,58.4,Populist Conservative
5,Colusa County (5 YR),2016,Donald Trump,53.5,Populist Conservative
6,Contra Costa County,2016,Hillary Clinton,68.5,"Liberal
Party Affiliation"
7,Del Norte County (5 YR),2016,Donald Trump,53.7,Populist Conservative
8,El Dorado County,2016,Donald Trump,52.6,Populist Conservative
9,Fresno County,2016,Hillary Clinton,50.1,"Liberal
Party Affiliation"
10,"Glenn County, CA",2016,Donald Trump,61.1,Populist Conservative
11,"Humboldt County, CA",2016,Hillary Clinton,56.0,"Liberal
Party Affiliation"
12,"Imperial County, CA",2016,Hillary Clinton,67.9,"Liberal
Party Affiliation"
13,"Inyo County, CA",2016,Donald Trump,52.5,Populist Conservative
14,"Kern County, CA",2016,Donald Trump,53.1,Populist Conservative
15,Kings county,2016,Donald Trump,53.3,Populist Conservative
16,"Lake County, CA",2016,Hillary Clinton,46.9,"Liberal
Party Affiliation"
17,"Lassen County, CA",2016,Donald Trump,72.0,Populist Conservative
18,"Los Angeles County, CA",2016,Hillary Clinton,71.8,"Liberal
Party Affiliation"
19,"Madera County, CA",2016,Donald Trump,54.2,Populist Conservative
20,"Marin County, CA",2016,Hillary Clinton,78.1,"Liberal
Party Affiliation"
21,"Mariposa County, CA",2016,Donald Trump,58.4,Populist Conservative
22,"Mendocino County, CA",2016,Hillary Clinton,58.9,"Liberal
Party Affiliation"
23,"Merced County, CA",2016,Hillary Clinton,52.7,"Liberal
Party Affiliation"
24,"Modoc County, CA",2016,Donald Trump,71.2,Populist Conservative
25,"Mono County, CA",2016,Hillary Clinton,52.6,"Liberal
Party Affiliation"
26,"Monterey County, CA",2016,Hillary Clinton,66.8,"Liberal
Party Affiliation"
27,"Nevada County, CA",2016,Hillary Clinton,47.4,"Liberal
Party Affiliation"
28,"Orange County, CA",2016,Hillary Clinton,50.9,"Liberal
Party Affiliation"
29,"Placer County, CA",2016,Donald Trump,52.0,Populist Conservative
30,"Plumas County, CA",2016,Donald Trump,56.0,Populist Conservative
31,"Riverside County, CA",2016,Hillary Clinton,49.7,"Liberal
Party Affiliation"
32,"Sacramento County, CA",2016,Hillary Clinton,58.3,"Liberal
Party Affiliation"
